Subject,Task,Task Type,Due Date,Due Time
Economic Measurement of Discrimination,Reader Response 1,Assignment,2026-01-26,11:59 PM
Economic Measurement of Discrimination,Reader Response 2,Assignment,2026-02-02,11:59 PM
Economic Measurement of Discrimination,Problem Set 1,Assignment,2026-02-04,10:00 AM
Economic Measurement of Discrimination,Reader Response 3,Assignment,2026-02-09,11:59 PM
Economic Measurement of Discrimination,Reader Response 4,Assignment,2026-02-16,11:59 PM
Economic Measurement of Discrimination,Reader Response 5,Assignment,2026-02-22,11:59 PM
Economic Measurement of Discrimination,Reader Response 6,Assignment,2026-03-02,11:59 PM
Economic Measurement of Discrimination,Problem Set 2,Assignment,2026-03-04,10:00 AM
Economic Measurement of Discrimination,Reader Response 7,Assignment,2026-03-09,11:59 PM
Economic Measurement of Discrimination,Reader Response 8,Assignment,2026-03-23,11:59 PM
Economic Measurement of Discrimination,Paper Topics,Deliverable,2026-04-01,TBD
Economic Measurement of Discrimination,Reader Response 9,Assignment,2026-04-06,11:59 PM
Economic Measurement of Discrimination,Reader Response 10,Assignment,2026-04-13,11:59 PM
Economic Measurement of Discrimination,Reader Response 11,Assignment,2026-04-20,11:59 PM
Economic Measurement of Discrimination,Problem Set 3,Assignment,2026-04-22,10:00 AM
Economic Measurement of Discrimination,Final Presentation,Presentation,2026-04-29,10:00 AM
Economic Measurement of Discrimination,Final Paper,Project,2026-05-08,TBD
International Trade,Problem Set 1 (Chapter 3),Assignment,2026-02-05,TBD
International Trade,Problem Set 2 (Chapter 5),Assignment,2026-02-19,TBD
International Trade,Midterm Exam,Exam,2026-03-05,TBD
International Trade,Problem Set 3 (Chapter 9),Assignment,2026-04-02,TBD
International Trade,Short Paper,Assignment,2026-04-16,TBD
International Trade,Final Exam,Exam,2026-05-08,TBD
Applying Machine Learning,PS 1 - Clustering,Assignment,2026-01-27,11:00 AM
Applying Machine Learning,PS 0 - Programming,Assignment,2026-02-03,11:00 AM
Applying Machine Learning,PS 2 - Visualization,Assignment,2026-02-03,11:00 AM
Applying Machine Learning,PS 3 - Trees,Assignment,2026-02-10,11:00 AM
Applying Machine Learning,PS 4 - Measurement and Fit,Assignment,2026-02-17,11:00 AM
Applying Machine Learning,PS 5 - Generalizing Fit,Assignment,2026-02-24,11:00 AM
Applying Machine Learning,PS 6 - Regularization and Loss,Assignment,2026-03-03,11:00 AM
Applying Machine Learning,PS 7 - Causality and Optimal Pricing,Assignment,2026-03-10,11:00 AM
Applying Machine Learning,PS 8 - Synthetic Data,Assignment,2026-03-24,11:00 AM
Applying Machine Learning,PS 9 - Optimal Pricing Competition,Assignment,2026-03-31,11:00 AM
Applying Machine Learning,PS 10 - Fairness,Assignment,2026-04-14,11:00 AM
Applying Machine Learning,PS 11 - AI,Assignment,2026-04-21,11:00 AM
Applying Machine Learning,Project Presentation,Presentation,2026-04-29,3:10 PM
Applying Machine Learning,Final Project,Project,2026-05-09,TBD
Financial Accounting & Analysis,Written Assignment 1 - Glo-Stick I,Assignment,2026-02-04,5:10 PM
Financial Accounting & Analysis,Written Assignment 2 - Glo-Stick II,Assignment,2026-02-11,5:10 PM
Financial Accounting & Analysis,Written Assignment 3 - Revenue Recognition,Assignment,2026-02-18,5:10 PM
Financial Accounting & Analysis,Written Assignment 4 - Doubtful Accounts & Deferred Taxes,Assignment,2026-02-25,5:10 PM
Financial Accounting & Analysis,Mid-Term Exam,Exam,2026-03-04,5:10 PM
Financial Accounting & Analysis,Final Exam,Exam,2026-05-TBD,TBD
Using Big Data to Develop Public Policy,Final Paper Proposal Outline,Deliverable,2026-03-11,TBD
Using Big Data to Develop Public Policy,Midterm (take-home),Exam,2026-03-10,TBD
Using Big Data to Develop Public Policy,Final Paper Presentation,Presentation,2026-04-28,7:10 PM
Using Big Data to Develop Public Policy,Final Paper,Project,2026-05-13,TBD
